# arm reachability battery (142 sites): site, ctor, verdict, reachability-row killers, all killers
bootstrap.go:101	failInvalid	KILLED	TestEveryDerivedArmFiresItsVector/ctor|failInvalid|bootstrap_process_token_is_empty	TestEveryDerivedArmFiresItsVector;TestEveryDerivedArmFiresItsVector/ctor|failInvalid|bootstrap_process_token_is_empty;TestProcessGuardRefusesReuse
bootstrap.go:108	failInvalid	KILLED	TestEveryDerivedArmFiresItsVector/ctor|failInvalid|bootstrap_process_was_already_used_for_an_attempt	TestEveryDerivedArmFiresItsVector;TestEveryDerivedArmFiresItsVector/ctor|failInvalid|bootstrap_process_was_already_used_for_an_attempt;TestProcessGuardRefusesReuse
bootstrap.go:137	failInvalid	KILLED	TestEveryDerivedArmFiresItsVector/ctor|failInvalid|bootstrap_attempt_does_not_carry_operation_manifest	TestBootstrapRefusesNonManifestAttempt;TestEveryDerivedArmFiresItsVector;TestEveryDerivedArmFiresItsVector/ctor|failInvalid|bootstrap_attempt_does_not_carry_operation_manifest
bootstrap.go:144	failTransport	KILLED	TestEveryDerivedArmFiresItsVector/ctor|failTransport|bootstrap_attempt_produced_no_response_frame	TestEveryDerivedArmFiresItsVector;TestEveryDerivedArmFiresItsVector/ctor|failTransport|bootstrap_attempt_produced_no_response_frame
bootstrap.go:156	failViolation	KILLED	TestEveryDerivedArmFiresItsVector/ctor|failViolation|bootstrap_manifest_does_not_contain_the_attempted_version	TestBootstrapTerminalFailuresNeverDowngrade;TestBootstrapTerminalFailuresNeverDowngrade/manifest_omits_attempted_version;TestEveryDerivedArmFiresItsVector;TestEveryDerivedArmFiresItsVector/ctor|failViolation|bootstrap_manifest_does_not_contain_the_attempted_version
bootstrap.go:163	failViolation	KILLED	TestEveryDerivedArmFiresItsVector/ctor|failViolation|bootstrap_success_carries_a_nonmatching_exit_status	TestBootstrapTerminalFailuresNeverDowngrade;TestBootstrapTerminalFailuresNeverDowngrade/success_with_failing_exit;TestEveryDerivedArmFiresItsVector;TestEveryDerivedArmFiresItsVector/ctor|failViolation|bootstrap_success_carries_a_nonmatching_exit_status
bootstrap.go:176	failViolation	KILLED	TestEveryDerivedArmFiresItsVector/ctor|failViolation|bootstrap_failure_is_not_the_exact_downgrade_tuple	TestBootstrapRefusesNonExactDowngradeTuple;TestBootstrapRefusesNonExactDowngradeTuple/ordinary_operation_failure;TestBootstrapRefusesNonExactDowngradeTuple/other_code;TestBootstrapRefusesNonExactDowngradeTuple/retryable_claim;TestEveryDerivedArmFiresItsVector;TestEveryDerivedArmFiresItsVector/ctor|failViolation|bootstrap_failure_is_not_the_exact_downgrade_tuple
bootstrap.go:183	failViolation	KILLED	TestEveryDerivedArmFiresItsVector/ctor|failViolation|bootstrap_downgrade_response_carries_a_nonmatching_exit_status	TestBootstrapRefusesNonExactDowngradeTuple;TestBootstrapRefusesNonExactDowngradeTuple/wrong_process_exit;TestEveryDerivedArmFiresItsVector;TestEveryDerivedArmFiresItsVector/ctor|failViolation|bootstrap_downgrade_response_carries_a_nonmatching_exit_status
bootstrap.go:191	failDowngrade	KILLED	TestEveryDerivedArmFiresItsVector/ctor|failDowngrade|no_lower_locally_supported_major_remains	TestBootstrapEndsWithoutCommonMajor;TestEveryDerivedArmFiresItsVector;TestEveryDerivedArmFiresItsVector/ctor|failDowngrade|no_lower_locally_supported_major_remains
manifest.go:261	failViolation	KILLED	TestEveryDerivedArmFiresItsVector/ctor|failViolation|expr|DecodeManifest|"node_manifest_"+fault.detail	TestEveryDerivedArmFiresItsVector;TestEveryDerivedArmFiresItsVector/ctor|failViolation|expr|DecodeManifest|"node_manifest_"+fault.detail
manifest.go:268	failViolation	KILLED	TestEveryDerivedArmFiresItsVector/ctor|failViolation|node_manifest_carries_unknown_member	TestDecodeManifestClosedMemberRules;TestDecodeManifestClosedMemberRules/unknown_member;TestEveryDerivedArmFiresItsVector;TestEveryDerivedArmFiresItsVector/ctor|failViolation|node_manifest_carries_unknown_member
manifest.go:275	failViolation	KILLED	TestEveryDerivedArmFiresItsVector/ctor|failViolation|node_manifest_misses_a_required_member	TestEveryDerivedArmFiresItsVector;TestEveryDerivedArmFiresItsVector/ctor|failViolation|node_manifest_misses_a_required_member;TestMissingVectorsDriveTheMissingArm;TestMissingVectorsDriveTheMissingArm/manifest_missing_member
manifest.go:282	failViolation	KILLED	TestEveryDerivedArmFiresItsVector/ctor|failViolation|node_manifest_schema_is_not_the_directory_node_manifest	TestDecodeManifestClosedMemberRules;TestDecodeManifestClosedMemberRules/wrong_schema;TestEveryDerivedArmFiresItsVector;TestEveryDerivedArmFiresItsVector/ctor|failViolation|node_manifest_schema_is_not_the_directory_node_manifest
manifest.go:289	failViolation	KILLED	TestEveryDerivedArmFiresItsVector/ctor|failViolation|node_manifest_version_is_not_1.0.0	TestDecodeManifestClosedMemberRules;TestDecodeManifestClosedMemberRules/wrong_version;TestEveryDerivedArmFiresItsVector;TestEveryDerivedArmFiresItsVector/ctor|failViolation|node_manifest_version_is_not_1.0.0
manifest.go:297	failViolation	KILLED	TestEveryDerivedArmFiresItsVector/ctor|failViolation|node_manifest_node_identifier_is_not_a_string[1..128]	TestDecodeManifestClosedMemberRules;TestDecodeManifestClosedMemberRules/empty_node_id;TestEveryDerivedArmFiresItsVector;TestEveryDerivedArmFiresItsVector/ctor|failViolation|node_manifest_node_identifier_is_not_a_string[1..128];TestStringBoundEdges;TestStringBoundEdges/manifest_node_id
manifest.go:305	failViolation	KILLED	TestEveryDerivedArmFiresItsVector/ctor|failViolation|node_manifest_node_version_is_not_SemVer	TestDecodeManifestClosedMemberRules;TestDecodeManifestClosedMemberRules/bad_node_version;TestEveryDerivedArmFiresItsVector;TestEveryDerivedArmFiresItsVector/ctor|failViolation|node_manifest_node_version_is_not_SemVer
manifest.go:313	failViolation	KILLED	TestEveryDerivedArmFiresItsVector/ctor|failViolation|node_manifest_host_identifier_is_not_a_UUIDv7	TestDecodeManifestClosedMemberRules;TestDecodeManifestClosedMemberRules/bad_host_id;TestEveryDerivedArmFiresItsVector;TestEveryDerivedArmFiresItsVector/ctor|failViolation|node_manifest_host_identifier_is_not_a_UUIDv7
manifest.go:321	failViolation	KILLED	TestEveryDerivedArmFiresItsVector/ctor|failViolation|node_manifest_executable_binding_is_not_a_digest	TestDecodeManifestClosedMemberRules;TestDecodeManifestClosedMemberRules/bad_executable_digest;TestEveryDerivedArmFiresItsVector;TestEveryDerivedArmFiresItsVector/ctor|failViolation|node_manifest_executable_binding_is_not_a_digest
manifest.go:329	failViolation	KILLED	TestEveryDerivedArmFiresItsVector/ctor|failViolation|node_manifest_provider_binding_is_not_a_digest	TestEveryDerivedArmFiresItsVector;TestEveryDerivedArmFiresItsVector/ctor|failViolation|node_manifest_provider_binding_is_not_a_digest
manifest.go:337	failViolation	KILLED	TestEveryDerivedArmFiresItsVector/ctor|failViolation|node_manifest_adapter_binding_is_not_a_digest	TestEveryDerivedArmFiresItsVector;TestEveryDerivedArmFiresItsVector/ctor|failViolation|node_manifest_adapter_binding_is_not_a_digest
manifest.go:345	failViolation	KILLED	TestEveryDerivedArmFiresItsVector/ctor|failViolation|node_manifest_supported_versions_are_not_sorted_unique_SemVer[1..16]	TestDecodeManifestRegistryRules;TestDecodeManifestRegistryRules/empty_versions;TestDecodeManifestRegistryRules/non_semver_version;TestDecodeManifestRegistryRules/unsorted_versions;TestEveryDerivedArmFiresItsVector;TestEveryDerivedArmFiresItsVector/ctor|failViolation|node_manifest_supported_versions_are_not_sorted_unique_SemVer[1..16];TestSortedUniqueDuplicatesRefuse;TestSortedUniqueDuplicatesRefus
manifest.go:353	failViolation	KILLED	TestEveryDerivedArmFiresItsVector/ctor|failViolation|node_manifest_operations_are_not_the_complete_sorted_eleven-name_registry	TestDecodeManifestRegistryRules;TestDecodeManifestRegistryRules/dropped_operation;TestDecodeManifestRegistryRules/padded_operation;TestDecodeManifestRegistryRules/reordered_operations;TestEveryDerivedArmFiresItsVector;TestEveryDerivedArmFiresItsVector/ctor|failViolation|node_manifest_operations_are_not_the_complete_sorted_eleven-name_registry
manifest.go:361	failViolation	KILLED	TestEveryDerivedArmFiresItsVector/ctor|failViolation|node_manifest_schemas_are_not_sorted_unique_ContractAssertion[15..64]	TestContractAssertionBoundEdges;TestDecodeManifestRegistryRules;TestDecodeManifestRegistryRules/assertion_extra_member;TestDecodeManifestRegistryRules/fourteen_schemas;TestDecodeManifestRegistryRules/non_semver_assertion;TestDecodeManifestRegistryRules/unsorted_schemas;TestEveryDerivedArmFiresItsVector;TestEveryDerivedArmFiresItsVector/ctor|failViolation|node_manifest_schemas_are_not_sorted_unique
manifest.go:369	failViolation	KILLED	TestEveryDerivedArmFiresItsVector/ctor|failViolation|node_manifest_tuple_registry_binding_is_not_a_digest	TestDecodeManifestClosedMemberRules;TestDecodeManifestClosedMemberRules/bad_tuple_registry;TestEveryDerivedArmFiresItsVector;TestEveryDerivedArmFiresItsVector/ctor|failViolation|node_manifest_tuple_registry_binding_is_not_a_digest
manifest.go:377	failViolation	KILLED	TestEveryDerivedArmFiresItsVector/ctor|failViolation|node_manifest_capabilities_are_not_the_exact_eight-name_result_map	TestDigestArrayBoundEdges;TestDigestArrayBoundEdges/capability_evidence;TestEveryDerivedArmFiresItsVector;TestEveryDerivedArmFiresItsVector/ctor|failViolation|node_manifest_capabilities_are_not_the_exact_eight-name_result_map;TestManifestCapabilityReasonCoherence;TestManifestCapabilityReasonCoherence/available_with_reason;TestManifestCapabilityReasonCoherence/conditional_without_reason;TestManifes
